name,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Levitating (feat. DaBaby),Dua Lipa,79,2020,0.702,0.825,-3.787,102.977,6
Physical,Dua Lipa,51,2020,0.647,0.844,-3.756,146.967,0
Don't Start Now,Dua Lipa,49,2020,0.793,0.793,-4.521,123.95,11
Break My Heart,Dua Lipa,50,2020,0.73,0.729,-3.434,113.011,4
Prisoner (feat. Dua Lipa),Miley Cyrus,55,2021,0.769,0.659,-3.899,127.992,3
GIRL LIKE ME,Black Eyed Peas,66,2020,0.965,0.485,-8.784,124.025,2
MAMACITA,Black Eyed Peas,56,2020,0.878,0.626,-6.945,105.046,2
Let's Love,David Guetta,60,2020,0.662,0.868,-4.025,92.998,5
Higher Love,Kygo,75,2020,0.693,0.678,-7.159,103.952,8
No Time To Die,Billie Eilish,74,2020,0.344,0.22,-13.218,70.895,4
Savage Remix (feat. Beyoncé),Megan Thee Stallion,57,2020,0.753,0.745,-4.776,169.02,10
drivers license,Olivia Rodrigo,19,2021,0.585,0.436,-8.761,143.874,10
Blinding Lights,The Weeknd,87,2020,0.513,0.73,-5.94,171.001,1
In Your Eyes,The Weeknd,74,2020,0.667,0.719,-5.371,100.019,7
Save Your Tears,The Weeknd,84,2020,0.679,0.825,-5.487,118.049,0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,78,2021,0.677,0.696,-6.181,90.03,0
Feel Me,Selena Gomez,46,2020,0.71,0.808,-6.703,99.989,2
WAP (feat. Megan Thee Stallion),Cardi B,75,2020,0.935,0.454,-7.509,133.073,1
Lonely (with benny blanco),Justin Bieber,72,2021,0.619,0.241,-7.102,79.461,11
Rain On Me (with Ariana Grande),Lady Gaga,70,2020,0.672,0.855,-3.764,123.056,9
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,62,2021,0.659,0.662,-5.768,109.957,5
Hold On,Justin Bieber,63,2021,0.658,0.634,-5.797,139.98,1
Yummy,Justin Bieber,67,2020,0.677,0.506,-6.652,145.843,9
Diamonds,Sam Smith,64,2020,0.637,0.666,-6.773,104.02,10
Dancing With A Stranger (with Normani),Sam Smith,75,2020,0.741,0.52,-7.513,102.998,8
Midnight Sky,Miley Cyrus,69,2020,0.699,0.805,-5.535,109.976,4
Say So,Doja Cat,73,2019,0.787,0.673,-4.583,110.962,11
Baila Conmigo (with Rauw Alejandro),Selena Gomez,63,2021,0.823,0.544,-7.132,149.903,5
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,75,2021,0.65,0.825,-4.645,118.091,0
Follow You,Imagine Dragons,61,2021,0.542,0.732,-5.956,124.912,9
Never Really Over,Katy Perry,59,2020,0.77,0.881,-4.776,99.995,8
Savage Love (Laxed - Siren Beat),Jawsh 685,70,2020,0.767,0.481,-8.52,150.076,0
Take You Dancing,Jason Derulo,67,2020,0.789,0.711,-4.248,112.985,2
Cool Me Down,Gromee,34,2021,0.874,0.758,-5.53,125.974,6
Love Again,Dua Lipa,62,2021,0.659,0.667,-4.668,115.982,11
Leave Before You Love Me (with Jonas Brothers),Marshmello,77,2021,0.721,0.738,-4.77,119.976,7
Cold Heart - PNAU Remix,Elton John,79,2021,0.796,0.798,-6.312,116.032,1
ME PASE (feat. Farruko),Enrique Iglesias,53,2021,0.745,0.904,-2.045,93.977,6
Take My Breath - Single Version,The Weeknd,60,2021,0.748,0.74,-6.01,121.004,8
Never Going Home,Kungs,63,2021,0.836,0.846,-4.673,122.042,0
Mañana,Alvaro Soler,48,2021,0.705,0.847,-5.194,92.966,0
Magia,Alvaro Soler,50,2021,0.757,0.66,-7.954,133.019,8
Złoto,Mrozu,44,2021,0.677,0.759,-6.104,129.973,6
STAY (with Justin Bieber),The Kid LAROI,78,2021,0.591,0.764,-5.484,169.928,1
I WANNA BE YOUR SLAVE,Måneskin,81,2021,0.75,0.608,-4.008,132.507,1
Shivers,Ed Sheeran,13,2021,0.788,0.859,-2.724,141.02,2
Follow You,Imagine Dragons,0,2021,0.544,0.732,-5.984,124.875,9
My Universe,Coldplay,74,2021,0.588,0.701,-6.39,104.988,9
Higher Power,Coldplay,65,2021,0.507,0.832,-5.931,177.894,10
Dynamite,BTS,2,2020,0.746,0.765,-4.41,114.044,6
Freedom,Kygo,52,2020,0.512,0.635,-6.591,111.596,7
Don't Go Yet,Camila Cabello,64,2021,0.666,0.796,-6.967,110.108,10
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,67,2021,0.776,0.808,-4.501,123.988,11
good 4 u,Olivia Rodrigo,82,2021,0.563,0.664,-5.044,166.928,9
drivers license,Olivia Rodrigo,82,2021,0.561,0.431,-8.81,143.875,10
Stuck with U (with Justin Bieber),Ariana Grande,78,2020,0.597,0.45,-6.658,178.765,8
Holy (feat. Chance The Rapper),Justin Bieber,66,2020,0.673,0.704,-8.056,86.919,6
Life Goes On,Oliver Tree,70,2021,0.7,0.49,-5.187,79.982,0
Don't Be Shy,Tiësto,71,2021,0.77,0.787,-3.748,119.986,11
You for Me,Sigala,54,2021,0.733,0.886,-1.856,126.031,2
Kings & Queens,Ava Max,77,2020,0.637,0.69,-4.057,129.857,1
My Head & My Heart,Ava Max,70,2020,0.614,0.934,-3.709,116.001,9
Torn,Ava Max,57,2020,0.665,0.831,-4.472,125.057,2
Who's Laughing Now,Ava Max,62,2020,0.648,0.641,-5.521,184.021,7
So Am I,Ava Max,67,2020,0.681,0.657,-4.671,130.089,6
Salt,Ava Max,66,2020,0.693,0.835,-3.242,128.052,6
THATS WHAT I WANT,Lil Nas X,73,2021,0.737,0.846,-4.51,87.981,1
Tick Tock (feat. 24kGoldn),Clean Bandit,63,2020,0.779,0.705,-3.895,101.022,0
Galácticos,Mrozu,32,2021,0.785,0.909,-6.431,129.977,11
Woman,Doja Cat,82,2021,0.824,0.764,-4.175,107.998,5
Need to Know,Doja Cat,75,2021,0.664,0.609,-6.509,130.041,1
UP,INNA,59,2021,0.812,0.712,-5.993,98.029,0
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,71,2021,0.741,0.691,-7.395,150.087,10
MONTERO (Call Me By Your Name),Lil Nas X,76,2021,0.593,0.503,-6.725,178.781,8
The Motto,Tiësto,72,2021,0.754,0.763,-4.627,117.953,7
Sacrifice,Bebe Rexha,45,2021,0.659,0.877,-5.089,119.992,11
"It’s You, Not Me (Sabotage)",Masked Wolf,41,2021,0.556,0.771,-3.136,91.036,5
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,74,2021,0.728,0.783,-4.424,77.011,11
In The Dark,Purple Disco Machine,54,2022,0.691,0.763,-5.628,115.936,6
Let Somebody Go,Coldplay,43,2021,0.592,0.342,-8.93,130.953,0
Sacrifice,The Weeknd,68,2022,0.735,0.795,-6.523,122.0,11
Run,OneRepublic,73,2021,0.682,0.72,-8.176,116.988,11
Rescue Me,OneRepublic,68,2021,0.761,0.606,-7.742,121.038,11
Lose Somebody,Kygo,64,2020,0.58,0.586,-6.883,147.988,1
Helena,Igo,39,2022,0.727,0.705,-6.699,119.073,7
Hypnotized,Purple Disco Machine,59,2021,0.691,0.818,-5.297,108.065,11
Heat Waves,Glass Animals,0,2021,0.761,0.525,-6.9,80.87,11
Anyone For You (Tiger Lily),George Ezra,2,2022,0.662,0.807,-3.285,103.031,10
Sweetest Pie,Megan Thee Stallion,65,2022,0.814,0.628,-7.178,123.977,7
Not Gonna Get It,Viki Gabor,17,2020,0.573,0.886,-6.141,161.597,5
Getaway,Viki Gabor,23,2020,0.736,0.719,-4.722,112.057,9
Little Bit of Love,Tom Grennan,59,2021,0.689,0.706,-4.48,106.52,1
Don't Break the Heart,Tom Grennan,52,2021,0.726,0.827,-3.941,123.003,1
this is what falling in love feels like,JVKE,2,2021,0.424,0.438,-5.53,128.983,11
As It Was,Harry Styles,28,2022,0.52,0.731,-5.338,173.93,6
Still Don't Know My Name,Labrinth,74,2019,0.316,0.63,-5.963,89.643,5
Bam Bam (feat. Ed Sheeran),Camila Cabello,69,2022,0.756,0.697,-6.377,94.996,8
We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,Martin Garrix,56,2021,0.66,0.733,-4.619,119.933,0
Maniac,Conan Gray,75,2020,0.628,0.639,-5.46,108.045,8
SUPERMODEL,Måneskin,65,2022,0.636,0.876,-3.413,120.983,7
ZITTI E BUONI,Måneskin,70,2021,0.625,0.939,-3.115,102.999,4
Maybe You’re The Problem,Ava Max,25,2022,0.53,0.835,-3.69,166.02,9
I Ain't Worried,OneRepublic,79,2022,0.704,0.797,-5.927,139.994,0
DON'T YOU WORRY,Black Eyed Peas,64,2022,0.816,0.875,-4.821,131.958,11
Ferrari,James Hype,76,2022,0.847,0.69,-7.877,125.004,1
Fading Like A Flower,Roxette,47,2022,0.701,0.901,-4.34,121.022,5
Sharks,Imagine Dragons,72,2022,0.927,0.642,-4.466,123.969,10
Bones,Imagine Dragons,81,2022,0.772,0.75,-3.67,114.061,5
Follow You,Imagine Dragons,69,2022,0.544,0.732,-5.984,124.875,9
I'm Good (Blue),David Guetta,85,2022,0.561,0.965,-3.673,128.04,7
SNAP,Rosa Linn,53,2022,0.565,0.636,-8.198,170.01,0
Sunroof,Nicky Youre,11,2021,0.768,0.714,-5.11,131.443,10
Hold Me Closer,Elton John,69,2022,0.667,0.75,-4.602,126.041,0
Words (feat. Zara Larsson),Alesso,73,2022,0.739,0.586,-5.079,124.026,10
Late Night Talking,Harry Styles,76,2022,0.714,0.728,-4.595,114.996,10
Bam Bam (feat. Ed Sheeran),Camila Cabello,70,2022,0.756,0.697,-6.377,94.996,8
Made You Look,Meghan Trainor,80,2022,0.834,0.522,-3.574,145.035,10
Your Love (9PM),ATB,74,2021,0.669,0.784,-5.603,125.993,7
Super Freaky Girl,Nicki Minaj,67,2022,0.95,0.891,-2.653,133.01,2
Calm Down (with Selena Gomez),Rema,79,2022,0.801,0.806,-5.206,106.999,11
Anti-Hero,Taylor Swift,81,2022,0.633,0.648,-6.645,96.888,4
CUFF IT,Beyoncé,74,2022,0.78,0.689,-5.668,115.042,7
Still (I Got Summer On My Mind) - FORTELLA Remix,JJ,58,2022,0.759,0.902,-6.068,123.963,9
Lavender Haze,Taylor Swift,74,2022,0.735,0.449,-10.56,97.05,7
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,67,2022,0.663,0.321,-13.527,110.021,9
Flowers,Miley Cyrus,24,2023,0.707,0.681,-4.325,117.999,0
Lose You To Love Me,Selena Gomez,55,2020,0.516,0.342,-8.985,102.819,4
People You Know,Selena Gomez,52,2020,0.695,0.62,-8.082,150.032,8
My Mind & Me,Selena Gomez,59,2022,0.587,0.385,-5.781,143.772,9
My Universe,Coldplay,75,2021,0.573,0.711,-6.268,105.006,1
Let Somebody Go,Coldplay,66,2021,0.592,0.342,-8.93,130.953,0
Look At Her Now,Selena Gomez,50,2020,0.753,0.564,-7.908,77.341,10
Ghost,Justin Bieber,83,2021,0.601,0.741,-5.569,153.96,2
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,76,2023,0.842,0.745,-4.231,122.06,2
All I Want,Olivia Rodrigo,69,2020,0.376,0.43,-6.585,77.599,0
Boy's a liar Pt. 2,PinkPantheress,72,2023,0.696,0.809,-8.254,132.962,5
Unholy (feat. Kim Petras),Sam Smith,77,2022,0.719,0.454,-7.384,131.007,2
Players,Coi Leray,68,2022,0.948,0.512,-5.74,105.004,6
Cupid - Twin Ver.,FIFTY FIFTY,22,2023,0.783,0.592,-8.332,120.018,11
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,81,2022,0.716,0.613,-6.018,97.914,1
Gyal You A Party Animal,Charly Black,1,2016,0.588,0.841,-5.138,134.577,0
Dance The Night - From Barbie The Album,Dua Lipa,80,2023,0.671,0.845,-4.93,110.056,11
Light Switch,Charlie Puth,70,2022,0.689,0.627,-5.692,184.008,6
Satellite,Bebe Rexha,20,2023,0.667,0.845,-3.977,115.976,5
Substitution (feat. Julian Perretta),Purple Disco Machine,68,2023,0.69,0.89,-4.866,124.018,0
Lottery (feat. LU KALA),Latto,58,2023,0.792,0.874,-2.966,113.969,1
People (feat. Ayra Starr & Omah Lay),Libianca,67,2023,0.559,0.453,-8.746,123.906,10
The Ballet Girl,Aden Foyer,2,2022,0.694,0.816,-4.741,118.036,1
Brighter Day,Ben Cristovao,45,2023,0.794,0.727,-8.292,113.001,6
When Love Sucks (feat. Dido),Jason Derulo,47,2023,0.631,0.707,-7.142,97.967,8
Cynical,twocolors,7,2023,0.69,0.84,-6.947,129.935,11
Waves,Imagine Dragons,62,2022,0.468,0.618,-6.353,120.123,9
RUNAWAY,OneRepublic,63,2023,0.629,0.691,-5.512,163.065,3
Single Soon,Selena Gomez,70,2023,0.61,0.571,-5.649,105.01,2
Paint The Town Red,Doja Cat,78,2023,0.868,0.538,-8.603,99.968,5
Houdini,Dua Lipa,69,2023,0.744,0.789,-4.876,116.985,9
Used To Be Young,Miley Cyrus,70,2023,0.626,0.63,-3.834,147.029,4
Everybody (feat. Lil Uzi Vert),Nicki Minaj,67,2023,0.737,0.774,-5.525,137.959,11
FTCU,Nicki Minaj,71,2023,0.93,0.435,-6.694,144.978,11
Feather,Sabrina Carpenter,85,2023,0.791,0.694,-4.332,123.508,6
Training Season,Dua Lipa,74,2024,0.812,0.587,-4.483,123.041,5
"yes, and?",Ariana Grande,73,2024,0.787,0.775,-6.614,118.998,1
Only The Young - Featured in Miss Americana,Taylor Swift,63,2020,0.56,0.78,-4.895,93.516,5
TEXAS HOLD 'EM,Beyoncé,75,2024,0.727,0.711,-6.549,110.012,2
willow,Taylor Swift,74,2020,0.392,0.574,-9.195,81.112,7
Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,61,2024,0.841,0.624,-5.502,120.03,4
Bejeweled,Taylor Swift,74,2022,0.687,0.551,-9.202,163.994,7
Say Yes To Heaven,Lana Del Rey,83,2023,0.485,0.348,-11.576,99.898,6
"You're On Your Own, Kid",Taylor Swift,76,2022,0.696,0.39,-10.331,120.032,2
we can't be friends (wait for your love),Ariana Grande,81,2024,0.645,0.646,-8.334,115.842,5
cardigan,Taylor Swift,83,2020,0.613,0.581,-8.588,130.033,0
august,Taylor Swift,83,2020,0.532,0.623,-9.208,89.937,5
Karma,Taylor Swift,62,2022,0.64,0.619,-7.108,90.008,8
greedy,Tate McRae,86,2023,0.749,0.729,-3.19,111.004,6
Fortnight (feat. Post Malone),Taylor Swift,74,2024,0.504,0.386,-10.976,192.004,11
Illusion,Dua Lipa,64,2024,0.677,0.763,-4.701,126.962,8
I Can Do It With a Broken Heart,Taylor Swift,75,2024,0.701,0.751,-8.39,129.994,0
Down Bad,Taylor Swift,74,2024,0.541,0.366,-10.412,159.707,11
The Tortured Poets Department,Taylor Swift,72,2024,0.604,0.428,-8.441,110.259,0
My Boy Only Breaks His Favorite Toys,Taylor Swift,74,2024,0.596,0.563,-7.362,97.073,0
Fresh Out The Slammer,Taylor Swift,71,2024,0.33,0.483,-9.394,87.115,9
"So Long, London",Taylor Swift,74,2024,0.423,0.533,-11.388,160.218,9
But Daddy I Love Him,Taylor Swift,73,2024,0.521,0.72,-7.684,79.943,4
Florida!!! (feat. Florence + The Machine),Taylor Swift,72,2024,0.533,0.573,-7.123,150.088,0
champagne problems,Taylor Swift,76,2020,0.462,0.24,-12.077,171.319,0
Nonsense,Sabrina Carpenter,86,2022,0.74,0.697,-4.912,138.992,8
Been Like This,Meghan Trainor,61,2024,0.709,0.712,-4.671,120.004,5
Belong Together,Mark Ambor,82,2024,0.646,0.668,-5.203,90.969,2
Who’s Afraid of Little Old Me?,Taylor Swift,74,2024,0.606,0.338,-10.555,119.88,0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,85,2023,0.391,0.084,-17.843,79.449,0
Until I Found You,Stephen Sanchez,76,2021,0.539,0.508,-6.05,101.358,10
Pepas,Farruko,76,2021,0.762,0.766,-3.955,130.001,7
ROCKSTAR (feat. Roddy Ricch),DaBaby,73,2020,0.746,0.69,-7.956,89.977,11
Happier Than Ever,Billie Eilish,82,2021,0.332,0.225,-8.697,81.055,0
deja vu,Olivia Rodrigo,83,2021,0.442,0.612,-7.222,180.917,2
Puntería,Shakira,48,2024,0.858,0.725,-3.828,120.087,5
The Sound of Silence - CYRIL Remix,Disturbed,83,2024,0.68,0.721,-4.379,125.963,6
vampire,Olivia Rodrigo,83,2023,0.484,0.53,-5.821,136.848,5
i like the way you kiss me,Artemas,84,2024,0.599,0.946,-4.263,151.647,11
positions,Ariana Grande,78,2020,0.737,0.802,-4.771,144.015,0
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,74,2022,0.881,0.592,-4.898,101.058,2
That's Hilarious,Charlie Puth,33,2022,0.707,0.447,-5.833,108.08,6
So High School,Taylor Swift,76,2024,0.366,0.866,-4.514,176.07,7
Guilty as Sin?,Taylor Swift,76,2024,0.626,0.428,-8.374,94.95,2
BLUE,Billie Eilish,82,2024,0.349,0.337,-10.671,142.01,7
LUNCH,Billie Eilish,86,2024,0.893,0.4,-7.981,124.987,11
BIRDS OF A FEATHER,Billie Eilish,97,2024,0.747,0.507,-10.171,104.978,2
That’s Not How This Works (feat. Dan + Shay),Charlie Puth,59,2023,0.584,0.576,-4.557,170.026,9
Houdini,Eminem,81,2024,0.936,0.887,-2.76,127.003,9
Please Please Please,Sabrina Carpenter,88,2024,0.669,0.586,-6.073,107.071,9
Seven (feat. Latto),Jung Kook,76,2023,0.782,0.839,-3.933,124.994,11
I Had Some Help (Feat. Morgan Wallen),Post Malone,84,2024,0.638,0.855,-4.86,127.986,7
A Bar Song (Tipsy),Shaboozey,84,2024,0.722,0.706,-4.857,80.969,9
Miracle (with Ellie Goulding),Calvin Harris,73,2023,0.636,0.869,-5.289,143.011,9
Let The Light In (feat. Father John Misty),Lana Del Rey,78,2023,0.335,0.44,-9.748,132.449,9
Static,Steve Lacy,74,2022,0.335,0.305,-12.661,79.001,1
Bad Habit,Steve Lacy,81,2022,0.686,0.494,-7.093,168.946,1
Water,Tyla,84,2023,0.673,0.722,-3.495,117.187,3
MILLION DOLLAR BABY,Tommy Richman,41,2024,0.849,0.699,-5.106,138.003,1
Agora Hills,Doja Cat,76,2023,0.755,0.687,-6.247,123.01,8
Strangers,Kenya Grace,37,2023,0.628,0.523,-8.307,169.982,11
I Don't Wanna Wait,David Guetta,84,2024,0.681,0.714,-4.617,129.976,1
Lose Control,Teddy Swims,89,2023,0.561,0.604,-4.409,159.92,9
the boy is mine,Ariana Grande,82,2024,0.795,0.63,-5.854,97.998,7
Lil Boo Thang,Paul Russell,78,2023,0.85,0.699,-3.292,114.481,0
Big Dawgs,Hanumankind,86,2024,0.464,0.745,-3.202,180.098,4
"Good Luck, Babe!",Chappell Roan,94,2024,0.7,0.582,-5.96,116.712,11
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,89,2023,0.264,0.64,-6.221,84.828,8
Sharks,Imagine Dragons,65,2022,0.927,0.642,-4.466,123.969,10
Please Please Please,Sabrina Carpenter,87,2024,0.675,0.586,-6.086,107.015,9
Taste,Sabrina Carpenter,93,2024,0.674,0.907,-4.086,112.964,3
Good Graces,Sabrina Carpenter,86,2024,0.758,0.759,-5.315,126.012,5
Bed Chem,Sabrina Carpenter,90,2024,0.739,0.727,-5.968,94.99,11
Espresso,Sabrina Carpenter,88,2024,0.699,0.776,-5.282,103.963,0
we can't be friends (wait for your love),Ariana Grande,86,2024,0.645,0.646,-8.334,115.842,5
"yes, and?",Ariana Grande,75,2024,0.787,0.775,-6.614,118.998,1
Shivers,Ed Sheeran,83,2021,0.788,0.859,-2.724,141.02,2
Bad Habits,Ed Sheeran,79,2021,0.807,0.893,-3.745,126.011,11
HOT TO GO!,Chappell Roan,89,2023,0.742,0.757,-4.981,139.982,6
Juno,Sabrina Carpenter,87,2024,0.633,0.725,-4.257,130.504,5
WE PRAY - Single Version,Coldplay,75,2024,0.754,0.53,-8.098,135.992,5
Kill Bill,SZA,86,2022,0.644,0.735,-5.747,88.98,8
Diet Pepsi,Addison Rae,88,2024,0.669,0.561,-6.538,150.069,10
APT.,ROSÉ,98,2024,0.777,0.783,-4.477,149.027,0
Die With A Smile,Lady Gaga,100,2024,0.521,0.592,-7.777,157.969,6
Glimpse of Us,Joji,77,2022,0.44,0.317,-9.258,169.914,8
Red Wine Supernova,Chappell Roan,84,2023,0.657,0.82,-4.448,124.041,9
Criminals,Meghan Trainor,72,2024,0.654,0.776,-4.818,108.082,4
